layers,neurons,activation,epochs,lr,batch_size,accuracy
1,4,ReLU,1,0.01,16,0.21040189125295508
1,4,ReLU,1,0.01,32,0.054373522458628844
1,4,ReLU,1,0.01,64,0.14657210401891252
1,4,ReLU,1,0.01,128,0.06619385342789598
1,4,ReLU,1,0.01,256,0.06855791962174941
1,4,ReLU,1,0.01,512,0.18203309692671396
1,4,ReLU,1,0.001,16,0.10638297872340426
1,4,ReLU,1,0.001,32,0.24113475177304963
1,4,ReLU,1,0.001,64,0.11583924349881797
1,4,ReLU,1,0.001,128,0.16784869976359337
1,4,ReLU,1,0.001,256,0.15130023640661938
1,4,ReLU,1,0.001,512,0.1182033096926714
1,4,ReLU,1,0.0001,16,0.19148936170212766
1,4,ReLU,1,0.0001,32,0.08274231678486997
1,4,ReLU,1,0.0001,64,0.1111111111111111
1,4,ReLU,1,0.0001,128,0.10401891252955082
1,4,ReLU,1,0.0001,256,0.018912529550827423
1,4,ReLU,1,0.0001,512,0.15839243498817968
1,4,ReLU,10,10.0,16,0.5153664302600472
1,4,ReLU,10,10.0,32,0.45390070921985815
1,4,ReLU,10,10.0,64,0.5602836879432624
1,4,ReLU,10,10.0,128,0.508274231678487
1,4,ReLU,10,10.0,256,0.458628841607565
1,4,ReLU,10,10.0,512,0.44680851063829785
1,4,ReLU,10,1.0,16,0.46099290780141844
1,4,ReLU,10,1.0,32,0.49645390070921985
1,4,ReLU,10,1.0,64,0.46808510638297873
1,4,ReLU,10,1.0,128,0.41134751773049644
1,4,ReLU,10,1.0,256,0.491725768321513
1,4,ReLU,10,1.0,512,0.4326241134751773
1,4,ReLU,10,0.1,16,0.6312056737588653
1,4,ReLU,10,0.1,32,0.5791962174940898
1,4,ReLU,10,0.1,64,0.6288416075650118
1,4,ReLU,10,0.1,128,0.6052009456264775
1,4,ReLU,10,0.1,256,0.5626477541371159
1,4,ReLU,10,0.1,512,0.6122931442080378
1,4,ReLU,10,0.01,16,0.3735224586288416
1,4,ReLU,10,0.01,32,0.3049645390070922
1,4,ReLU,10,0.01,64,0.2458628841607565
1,4,ReLU,10,0.01,128,0.3617021276595745
1,4,ReLU,10,0.01,256,0.4302600472813239
1,4,ReLU,10,0.01,512,0.3971631205673759
1,4,ReLU,10,0.001,16,0.14893617021276595
1,4,ReLU,10,0.001,32,0.2458628841607565
1,4,ReLU,10,0.001,64,0.12056737588652482
1,4,ReLU,10,0.001,128,0.1182033096926714
1,4,ReLU,10,0.001,256,0.19858156028368795
1,4,ReLU,10,0.001,512,0.16784869976359337
1,4,ReLU,10,0.0001,16,0.16312056737588654
1,4,ReLU,10,0.0001,32,0.09929078014184398
1,4,ReLU,10,0.0001,64,0.11583924349881797
1,4,ReLU,10,0.0001,128,0.12293144208037825
1,4,ReLU,10,0.0001,256,0.16312056737588654
1,4,ReLU,10,0.0001,512,0.12056737588652482
1,4,ReLU,25,10.0,16,0.5106382978723404
1,4,ReLU,25,10.0,32,0.6170212765957447
1,4,ReLU,25,10.0,64,0.5981087470449172
1,4,ReLU,25,10.0,128,0.6619385342789598
1,4,ReLU,25,10.0,256,0.5886524822695035
1,4,ReLU,25,10.0,512,0.6193853427895981
1,4,ReLU,25,1.0,16,0.7281323877068558
1,4,ReLU,25,1.0,32,0.7565011820330969
1,4,ReLU,25,1.0,64,0.6997635933806147
1,4,ReLU,25,1.0,128,0.817966903073286
